,Sp_Name,SpName,MDD_id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName.x,CheekPouch,CheekPouchSource,SynonymUsedMDD,MSW3_sciName.y,MSW3_ID,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,DietFillSource,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,ActivityFillSource,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,SynonymUsedElt,Order,Family,Genus,Body_mass_g,MassFillSource,Adult_svl_cm,Litter_clutch_size,Diel_activity,Habitat_breadth_IUCN,Forest,Savanna,Shrubland,Grassland,Wetland,Rocky.areas,Caves.and.subterranean,Desert,Marine,Marine.intertidal.or.coastal.supratidal,Artificial,Introduced.vegetation,Other.Unknown,HabitatFillSource,SynonymUsedEtard,HBL,TL,HFL,EL,WT,RTL,RHFL,REL,ExtMsmtsFillSource,Habitat,H.source,Life.mode,Life.modeFillSource,Saltation,SaltationFillSource,SynonymUsedAlhajeri,,,
13,Akodon_spegazzinii,Akodon spegazzinii,1002421,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,spegazzinii,Akodon spegazzinii,Akodon spegazzinii,0,,NA,Akodon spegazzinii,1702,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,28.6,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,28.05,,11.9495,4.18,Nocturnal,3,1,0,0,1,0,0,0,0,0,0,0,0,0,,,97,69,21,14,27,0.71,0.22,0.14,,Shrubland,Map,Terrestrial,,S0,,,,,
14,Akodon_subfuscus,Akodon subfuscus,1002422,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,subfuscus,Akodon subfuscus,Akodon subfuscus,0,,NA,Akodon subfuscus,1694,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,30.4,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,30.39,,14,4.18,Nocturnal,6,1,0,0,1,0,0,0,0,0,0,1,0,0,,,160,68,21,14,NA,0.42,0.13,0.09,,Grassland,Map,Terrestrial,,S0,,,,,
15,Akodon_torques,Akodon torques,1002426,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,torques,Akodon torques,Akodon torques,0,,NA,Akodon torques,1695,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,39,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,38.99,,14,NA,Nocturnal,5,1,0,1,1,0,0,0,0,0,0,1,0,0,,,102,94,22,17,39,0.92,0.22,0.17,,Forest,Map,Terrestrial,,S0,,,,,
16,Ammospermophilus_harrisii,Ammospermophilus harrisii,1001707,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Ammospermophilus,harrisii,Ammospermophilus harrisii,Ammospermophilus harrisii,1,,NA,Ammospermophilus harrisii,1077,Sciuridae,20,0,0,0,0,10,20,0,20,30,,Ref_1,ABC,G,A,0,0,1,,Ref_1,ABC,122,Ref_117,1,,RODENTIA,SCIURIDAE,Ammospermophilus,126,,16.3585,6.49,Other,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,154,75,37,11,91,0.49,0.24,0.07,,Desert,IUCN,Terrestrial,,S0,,,,,
17,Ammospermophilus_leucurus,Ammospermophilus leucurus,1001709,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Ammospermophilus,leucurus,Ammospermophilus leucurus,Ammospermophilus leucurus,1,,NA,Ammospermophilus leucurus,1079,Sciuridae,20,0,0,0,0,10,20,0,20,30,,Ref_1,ABC,G,A,0,0,1,,Ref_1,ABC,103.67,Ref_117,1,,RODENTIA,SCIURIDAE,Ammospermophilus,103.67,,15.957,8,Other,3,1,0,1,0,0,0,0,1,0,0,0,0,0,,,145,61,37,11,94,0.42,0.26,0.08,,Shrubland,Map,Terrestrial,,S0,,,,,
18,Andinomys_edax,Andinomys edax,1002476,RODENTIA,CRICETIDAE,SIGMODONTINAE,ANDINOMYINI,Andinomys,edax,Andinomys edax,Andinomys edax,0,,NA,Andinomys edax,1715,Cricetidae,0,0,0,0,0,0,0,0,0,100,,Ref_1,ABC,G,A,1,0,0,,Ref_1,ABC,69.75,Ref_117,1,,RODENTIA,CRICETIDAE,Andinomys,69.75,,16.5,2.91,Nocturnal,3,0,0,1,1,0,0,0,0,0,0,1,0,0,,,149,125,31,24,83,0.84,0.21,0.16,,Grassland,Map,Terrestrial,,S0,,,,,
20,Apodemus_agrarius,Apodemus agrarius,1003007,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,agrarius,Apodemus agrarius,Apodemus agrarius,0,,NA,Apodemus agrarius,2231,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,0,0,1,,Ref_1,ABC,23.3,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,21.2,,NA,5.66,Other,7,1,0,0,1,1,0,0,0,0,0,1,0,0,,,88,69,19,12,NA,0.78,0.22,0.14,,Forest,Map,Terrestrial,,S2,,,,,
21,Apodemus_chevrieri,Apodemus chevrieri,1003010,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,chevrieri,Apodemus chevrieri,Apodemus chevrieri,0,,NA,Apodemus chevrieri,2234,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,0,0,1,,Ref_1,ABC,32.9,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,27.05,,NA,5.68,Other,4,1,0,0,1,0,0,0,0,0,0,1,0,0,,,96,81,21,15,NA,0.84,0.22,0.16,,Forest,Map,Terrestrial,,S2,,,,,
22,Apodemus_draco,Apodemus draco,1003011,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,draco,Apodemus draco,Apodemus draco,0,,NA,Apodemus draco,2235,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,1,1,0,,Ref_1,ABC,22.25,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,22.825,,11.8755,5.18,Nocturnal,3,1,0,1,0,0,0,0,0,0,0,0,0,0,,,95,98,24,16,NA,1.03,0.25,0.17,,Forest,Map,Terrestrial,,S2,,,,,
23,Apodemus_flavicollis,Apodemus flavicollis,1003013,RODENTIA,MURIDAE,MURINAE,APODEMINI,Apodemus,flavicollis,Apodemus flavicollis,Apodemus flavicollis,0,,NA,Apodemus flavicollis,2236,Muridae,20,0,0,0,0,0,20,0,20,40,,Ref_1,ABC,G,A,1,1,0,,Ref_1,ABC,26.7,Ref_117,1,,RODENTIA,MURIDAE,Apodemus,29.375,,12.656,5.22,Nocturnal,5,1,0,1,0,0,0,0,0,0,0,0,0,0,,,104,105,26,18,NA,1.01,0.25,0.17,,Forest,Map,Terrestrial,,S2,,,,,
